Kommentaari ID,Kommentaar,Meelsus
86,"95% külastustest on suhtumine olnud üleolev ja samas asjatundmatu. Komplekteeritud arvuti pidi saama nädalaga kätte.. nädal hiljem kohale minnes sõimati , et kui valmis, siis helistatakse. Helistatigi ja öeldi, et soovitud mälu neil tegelikult ei pakuta ja variant on panna uus (256 asemel 512mb) ja see võtab aega 2 nädalat- ei vabandamist, ei hinnasoodustust. Kättesaades oli 192mb RAM'i.. nüüdseks see arvuti enam ei ela, sest koostekvaliteet oli nii kehv, et põles maha.. Tõsiselt kehv koht!",Negatiivne
87,Väga bueno koht! Teenindus tasemel ja tüübid pädevad:),Positiivne
89,"Pole põhjust kurta. Aastaid tagasi ostetud AMD-d töötavad siiani päris korralikult ja ka eelmise aasta lõpus ostetud arvutil pole midagi viga. Alguses oli firma müüjal väheke keele probleeme kuid nüüdseks on see probleem kah murtud st. saavad hakkama. Siiani kõik küsimused saanud kas positiivse või negatiivse vastuse kui kohale lähed. Meili teel ei viitsi enamus firmasi vastata, kuid 5-est e-mailist 3 on saanud vastuse. Minu hinnang on selline et järgmise AMD tüüpi arvuti ostan ma siit. Loodetavasti  on see sama hea mis siiani olnud.",Neutraalne
90,"Vaatasin kodulehelt laoseise, valisin välja kristiine salongi, kus pidi olema nii platinumi dvd+rw plaate kui ka tavalisi dvd+r. Esimesi muidugi ei olnud, saabumise küsimise peale öeldi, et ega siin ladu ei ole, et ei tea. Teise kohta öeldi, et homme hakkab soodus, täna te küll neid osta ei soovi, tulge parem homme tagasi, saate suure protsendi alla - jah tõsi, aga loomulikult tagasi ma enam ei läinud sellise suhtumise pärast. Ja kodulehe laoseis ei vasta ikka üldse tegelikkusele :(",Neutraalne
95,"Võiks rohkem raha paigutada töötajate koolitamisse - Mp3 player ei pea mängima vaid ühte lugu enne kui patakas tühi, nagu mulle väideti :D ",Negatiivne
97,"Kurat, tahtsin neilt Samsungi 20"" osta. Saatsin maili, küsisin, et millal kohale jõuab. Neil seda kohe võtta polnud. Ei vastatud sellele. Helistasin - keegi ei võtnud vastu. ",Negatiivne
98,"Kui tead mida tahad ja oled kindel et selle tootega probleeme ei teki, siis võib k-st osta. garantii on neil nii halb, et see ei ole väärt mainimist. viimasel ajal ei osta toorikuid ka sealt enam (tegemist kristiine keskusega) kuna teenindus on nii halb lihtsalt. viimased 5-6 korda olen alati astunud kõrval olevasse enterisse. PARIMAD HINNAD EESTIS EI vasta tegelikkusele.",Negatiivne
101,"kõrgema leveliga üritus. ükskord, kui pidin oma massina sinna ülevaatuseks viima, aga autu ei tahtnud sõita, tuli päälik ise oma autuga järele ja sõidutas pärast tagasi kah.",Positiivne
102,* Töötajad valdavad eesti keelt halvasti.,Negatiivne
103,Oli negatiivne kogemus nendega.,Negatiivne
105,"Kommenteeriks seda sooduskampaaniat IBM Thinkpad X41 - SUPERHINNAGA! Minu arust peakski sellise läpaka tavahind olema 16000 mitte 29500 nagu praegu on pandud, sest peale kerge kalu pole ju selles läpakas midagi head, sisu on täiesti jura, sellise sisuga masinad maksavad 10K. Hinna ja jõudluse suhe on täiesti paigast ära. Flex Arvuti kui firma kohta aga ei ütleks ühtagi paha sõna.",Neutraalne
107,"Panin täna ühe kribaja kinni ja kui kohale tulin öeldi, et kõik müüdi maha. Ebemeeldiv on ka, et isegi ei vabandatud.",Negatiivne
108,"Tellimus sa kinnitatud aga kaupa ei tulnud, lõpuks maksti raha tagasi aga kaupa oli vaja mitte raha. Hoiduge sellest firmast.",Neutraalne
109,"tellisin mp3-pleieri ja helikaardi, tulid nädalaga ilusti raplasse postimajja :)",Positiivne
110,ATF- is töötavad Macgyver- id..,Positiivne
113,"Täiesti mõttetu firma, peaks mainima. Millegipärast annab alati siin Hinnavaatluses odavaima hinna, kuid kui helistades sinna, siis tuleb välja, et kunagi seda õiget asja ei ole ja pakutakse tunduvalt kallimat ja teise firma toodet. Jätab täpselt sellise mulje, et muudmoodi kliente enam sinna urkasse ei meelita, kui valetades hinnad odavamaks kui muidu on. Parkimisvõimalused on praktiliselt olematud ja üldse jätab sellise umbkeelse ja kohe kohe pankrotti mineva firma mulje. Seega, kui näete siin mingit toodet, mis on neil ""soodsaima"" hinnaga, siis helistage igaks juhuks üle, sest kohaleminnes võib teid oodata üllatus, et õiget kaupa polegi. Samas olete aga raisanud oma aega ja närve.",Negatiivne
115,Kuidas sellest kohast tellimine käib? Kodulehelt ei suutnud midagi leida. Saadad meili neile? Äitäh,Positiivne
117,"täiesti rahul, väike aga tubli firma,kõik jupid mis sealt ostetud töötavad siiamaani täiesti probleemideta, sai ühe korra garantiis käidud, kuna emaplaat oli vigane, vahetati uue vastu ilma mingite pretentsioonideta, ja garantii kiire ja korralik, mitte nagu mingi K arvutisalong, ootad 3 nädalat mitte m***-igi ei liigutata ja kui saad lõpuks asja kätte siis ikka vigane ja viid uuesti garantisse ja siis ootan uuesti 3 nädalat ja kui veab saab korda.",Positiivne
118,Ei soovita. Kaupade kataloog on OK. Aga ,Negatiivne
120,"Täna, ehk kuu aega pärast tellimuse esitamist ja maksmist ei ole kaupa veel kätte saanud. Saatsin hommikul neile e-kirja milles soovitasin neil kliente vahepeal mitte unustada. ",Negatiivne
121,"Kohutavalt kehv pood, olematust garantiist ja toodete kehvast kvaliteedist võiks terve raamatu kirjutada. Tootevalik on pea olematu. Muud peale toorikute enam osta ei julge, peale seda kui sealt ostetud asjad järgemööda üles ütlema hakkasid(kusjuures garantiis läheb tavaliselt aega 1- 2 kuud ja siis on ka tulemus enam kui kaheldav).",Negatiivne
122,"Sain tellitud kauba kätte meeldivalt kiiresti. Karpi lahti tehtud, ei leidnud aga seest USB kaablit ( jutt siis mp3 mängijast), kuigi karbi peal ilusti kirjas mis sees peaks olema. Veel näha ,et karpi lahti võetud(rämedalt). Krt. Asi oli mõeldud kingiks. 0-punkti minu poolt OX-le.",Negatiivne
123,"Hea ja kiire teenindus. Sain isegi kingituse kaasa peale ostu ! Minu jaoks esimene kord, pole kohanud üheski teises arvutitarvete kaupluses seda. Kingitus polnud nüüd mingi kallis asi, kuid meele tegi rõõmsaks küll.",Positiivne
124,"Teadmiseks teistele tulevastele klientidele, et kauplus asub küll C korpuses, kuid sisse tuleb minna seal uksest mis asub sildist C eemal, mitte selle C all. Seal 2 ust. Ja firma ise asub 1 korrusel ja kõige viimane uks koridori lõpus. Rohkem ja täpsemat infot võiks küll firma ülesse panna, et üles leiaks ka vähema orienteerumisvõimega isikud- nagu mina :P",Neutraalne
125,Endal küll mingeid probleeme ei tulnud. ,Positiivne
128,sai sealt samuti mõned arvuti komplektid kokku pandud ning müüjad on abistanud ,Neutraalne
130,Mina sain oma uue läpaka kahe päevaga kätte. Keeleprobleemi ei täheldanud.,Positiivne
131,remondivad meie õnnetut lifebookide hunnikut. teenindus on kiirem ja kohati ka soodsam kui eelmises remondikohas. kaupadele pole tähelepanu pööranud kuid just hooldus on päris ok. ,Neutraalne
132,"See, et neil garantii kusagilt Leedu kaudu käib on täielik jama. Vaio laadija ei taha kuidagi Eestisse tagasi jõuda.",Negatiivne
133,"Olen tellinud sealt komplekti 13k, 2 mälupulka, 2 DDR2 mälu ja HDD.",Neutraalne
134,keegi palun öelge kuidas ma saaksin läbi posti tellida omale siit firmast asju?,Positiivne
141,"Väga viisakas koht, helitasin tellisin Creative Elite Pro sealt. Saadeti korralik arve sealt, järgmine päev oli postis ja siis järgmine päev juba kohal. Väga korralik.Pakk oli korralik, paks ja hea. Helikaart oli värske mitte kribitud ja kole. Minul on hea kogemus, väha head hinnad ja kiire asjaajamine.",Neutraalne
142,"KOmplekteerin endale arvutit, enamiku juppidest tellinud ATFst- kõik superluks! KOhe saadetakse arve, kohe teavitatakse et asi kohal, muudkui asi kätte ja külge",Neutraalne
146,"Tellisin eile mälu, täna lõunal sain kätte juba :D",Positiivne
150,"Nats hilja kommenteerin, kuid kunagi sai sealt Razer Copper head ja ExactMat ostetud.. jõudis kiiresti kohale ja kõik oli nagu päris :D",Positiivne
151,"Ostsin paar nädalat tagasi prose... Kohale toomisega tekkis kerge segadus, kuid päevad hiljem jõudis ilusti kohale ja olen rahul :)",Positiivne
152,"Soovisin mingi aeg tellida midagi, kuid tellimussüsteem ajas pehmelt öeldes segadusse... Siis oli inglise, vene ja eesti keele segune ostu sooritamine... Nüüd ""ainult"" inglise ja eesti keelne.",Negatiivne
155,"Ostsin eelmine aasta arvuti. Maksis nagu hullult. Pragust maksab 8K vähem mitte k-arvutisalongis. K-arvutisalongis sealt võeti paar tuhat maha. Okei lähme edasi. Tellisin arvuti, ja nüüd ootasin kuu aega kuni saab kätte. Tulime järele, Ootasime tund aega kuni nad ta leiavad, hiire leiavad, klaviatuuri jne... Garantii ainult üks aasta. Kohe järgmisel päeval garantiise. Öeldakse mulle, ahhh selline probleem praegust kõikidel kes ostsid sellise arvuti. Noh vahetame ära blablabla... Asi on ventilaatoris mis lärmas hullem kui tolmuimeja. Vahetamiseks läks umbes nädal. Ja siis küsitakse meilt veel raha, et nagu WTF tõesti. Makstud. Olin loll, mul videokaart oli algusest juba katki. Ja nüüd garantii otsas ja vahin lakke. No muidugi mul läks veel DVD lugeja katki. Sellele annan 0. kahjuks seda valida ei saa, aga 1 nad küll ära teeninud ei ole...",Negatiivne
163,Läpakad ei sobi  mängimiseks.,Neutraalne
165,"Korduvalt ostan sealt asju. Preaguseks julgelt üle 20 asja ostetud. Ixuse kaameraga oli probleem (sensoris oli surnud piksel või midagi), kuid läksin kohale, seletasin ilusti ära, ning vahetati kohapeal ümber. hinda saab tingida, müüjad on sõbralikud (saab asju ikka näppida), kuid on kiindunud arvutitesse (hmm, niikaua kuni mina näppisin kaamerat, uuris tema huviga arvutimonitori, kuid, ongi nii parem, saab rahulikult uurida. Telefoniga on neil ainult probleem aga emailiga saab asjad aetud. Kaubavalik keskmine ka kohapeal, nii et muudkui, mine ja osta imho.",Positiivne
167,"ATF vol 2. Ehk siis, sõbralik teenindus jne. Asukoht on natuke jama (raske ligipääseda tipptunnil, aga mis teha), ning pood väike, aga äri sujub nagu õlitatult. 5+ teenindajad.",Positiivne
168,"Väga hea ,pole probleeme olnud. Internetipoe kaudu ostetud juba 3 korda ning pole kordagi mingeid probleeme olnud.",Neutraalne
170,Tellisin asuse video. Kaup oli tellimisel ja saabus lubatud aja piires. 6 päeva. Töötab ja asi korras. Suhtlemine võiks sõbralikum/abistavam olla.,Positiivne
172,"Ostsin mõnda aega tagasi ATFst 205BW, teeninuds oli kerge vene aksendiga, aga vähemalt teenindati kiirelt ära ja kauba sai korralikult kätte :) ",Positiivne
176,Yeah...olen mitmeid asju sealt ostnud lates mp3 playerist kuni arvutijuppideni välja =D ,Positiivne
178,Muidu hea koht kuid kahjuks puudub neil igati vajalik asi. Igasugune liising järelmakse. Ehk siis kõik tuleb kohe välja käija. Kahjuks kõigil inimestel sellist võimalust pole.,Positiivne
182,realgamer oled ikka kindel??,Neutraalne
184,"Firma sai valitud soodsate hindade ja mitmekesise valiku pärast. Paraku on tulemus täielik pettumus. Kolm nädalat on maksmisest möödas ja mul ei ole ikka veel arvutit! Ometi sai komponendid valitud need, mis olid juba laos olemas. Eelmisel reedel sain kasti küll kätte, aga sellel ei töötanud tagumine ventilaator. Praak töö kah veel, peale selle, et peab kaua ootama. Nukker on asja juures veel see, et kogu info tuleb neilt väga vaevaliselt. Kliendiga suhtlemine on täielik null. ",Negatiivne
187,Soovin osta sülearvutit ATF'ist.,Neutraalne
189,Teenindus oli väga hea: kiire ja paindlik isegi väikeste veidruste suhtes.,Neutraalne
190,Ostsin sealt läpaka. Väga hea teenindus ja odavad hinnad! :),Positiivne
192,"""Arvaja"" - mismõttes kohapeal olemas? nende netilehelt ma küll aru ei saanud et neil mingi pood olex kuhu ""kohapeale"" minna?",Neutraalne
194,"Mõtetu pood, midagi kohapeal pole, kõik on tellimisel.",Negatiivne
195,"ÄRA VALETA, NAD PEAVAD TÄIESTI KORRALIKKU POODI. KUI ASJAST MIDAGI EI TEA, HOIA SUU KINNI !",Neutraalne
196,"Nu mis korralik pood see on, hinnakiri kilomeetri pikkune, lähed kohale enamus asju tellimisel ei olnud kõwaketast, ei emaplaati, proset ei küsinudki enam, läksin edasi Mikromaailma ja sain samad asjad letist.",Neutraalne
197,"Tellisime Digizonest firmale 4 sellist kaamerat, lisaks meeldivale ja kiirele teenindusele saime lisaks peotäie häid soovitusi tänu millele ostsime kaameratele lisaks korralikud kaamerakotid + mälud... 5+ :)",Positiivne
198,s.t. sellist kaamerat: ,Neutraalne
201,"Ostsin helikaardi Creative Elite Pro, oli vigase PCI ühendusega. Saatsin tagasi, läks mööda 3 päeva ja sain tutika, uuema Vista toega ja kõik nii nagu peab.",Positiivne
209,"Nagu eelpool kirjutasin ostmisest, ostsin reede uue AMD Athlon64 X2 Dual-Core 3800+. Töötab ideaalselt... Eelmine ostetu AMD Sempron 2500+ töötab nigu kulda.Pole muud kui ainult kiida:)  ",Positiivne
210,"Muidugi on mikromaailm parem koht kust asju osta,kui rahaga midagi targemat teha pole. Hinnakiri võib ju kilomeetrine olla,aga sa peaksid ka eset vaadates kiikama rea lõppu. Seal on kirjas kas neil üldse on seda ja kui palju.",Positiivne
211,"ostsin sealt AP. softiga konfida ei saanud ja viisin garantiisse. selgus, et brauseti kaudu peab konfima, aga selleks peab IP olema sams vahemikus ja mask sama. selle infoga tulin garantiist tagasi ja seda tasuta. selle info saamine muidugi võttis 1,5 nädalat. samas wifi ruuter käis garantiis ja tagasi sain ilma wifita ruuteri. vaatasin küll, et teine isend, mispeale nad vastasid, et see on teine mudel. hiljem(järgmine päev) sai muidugi õige asja, aga minu bensiini- ja närvikulu oleks võinud olematta olla. toorikuid kannatab osta, aga muid asju mitte. müüjad on ebakompetentsed, kuigi leidub meeldivaid erandeid. isegi nende garantiisalongis, kus võiks enam vähem pädev seltskond olla, tuleb pidevalt tõestada, et sa ise loll ei ole. nt küsisin seal võrguketast, ok nad aimasid, mis see olla võib, aga samas väitsid, et mitte keegi ei kasuta selliseid asju veel(mul kodus käib 1 juba 1,5 aastat) ja enne pole keegi küsinud.",Negatiivne
215,Tellisin hiljuti nende käest iPhone'i. Kuigi pidavat olema pikk järjekord õnnestus mul asi juba saabuvast partiist kätte saada ning kaup oli kohal järgmine päev. Väga kiire ja asjalik värk ning head hinnad.,Neutraalne
216, oli müüdud ja uus omanik garanteerib kõike probleemi lahendamine.,Neutraalne
217,üldjuhul helistan ette kas on jupp olemas või pole... olgu siis tegu tallinna või kuressaare kauplusega. suht haige on vaadata tüüpe kes rallivad autoga poest poodi ja tunnevad ennast sitasti kui midagi kohal pole,Neutraalne
218,"Teenindus kiire, mida muud vaja.",Positiivne
220,"Olen sealt ostnud 2 läpakat, ei ole mingeid probleeeme, garantii on hea, hinnad soodsad valik ka normaalne... soovitan",Neutraalne
222,Väga kiire reageering ja abivalmis teenindus. Sain hädasti vajamineva kauba kätte juba samal päeval.,Positiivne
224,"igati rahul, sain esimese ostu sooritatud (LCD 20"" monitor) ja teenindus oli kiire ja asjalik. ",Positiivne
226,"Ütleks ka paar positiivset sõna. Kuigi maksta oli  vaja ligi 12000.-  krooni  ja väike selline tunne oli küll, et äkki läheb raha nelja tuule poole , aga kõik laabus kiirelt ja korralikult. Suuresti aitasid otsustada  siin olnud positiivsed kogemused ja eks see neti kaudu ostmine ole ka suuresti usalduse küsimus. Kiitus müüjale. Ostke julgelt",Neutraalne
228,"Ostsin omal ajal neilt MP3 mängija. Ok, olin pisut kooner ja sai soetatud 600.- jublakas. Algul töötas ilusti ja siis hakkas end täiesti lambi kohtate pealt välja lülima. No lähen garantii salongi, seletan probleemi ära, et näe lülitab end välja kui ise tahab. See pooletoobine seal leti taga paneb minu pleieri kalpid omal pähe ja hakkab kuulama, läheb ca minut, kuna on omal volüümi põhja keeranud siis karjub üle muusika: ""PRAEGU MÄNGIB HÄSTI!!! PROOVIN RINGI LIIKUDA!!!"" Tuterdab mööda müügisaali, ""IKKA MÄNGIB!!!"" osa kliente juba vaatab küsiva näoga minu poole, a'la, kas see idikas on sinuga kaasas? ""LÄHEN PROOVIN ÕUES!!!"" ja kaob parklas autode vahele. Selleks ajaks oli mul juba kogu üritusest selline siiber. Igatahes võtsid nad asja 2x remonti ja 2x tuli see sealt tagasi ja tehtud ei saand sellega midagi, ma ei usu et nad üldse probleemi sisustki aru said.",Negatiivne
230,"Hinnad head, teenindus ülikiire, väga korralik kaup. 5++ lihtsalt :)",Positiivne
231,Väga hea teenindus interneti teel!,Positiivne
232,"On ostetud kunagi sealt dvd kirjutaja ja videokaart. Need olid ajad, kui asi töötas =P",Neutraalne
234,Aakron  Eestist  pakkumist  küsides  sain tugevalt  parema  hinna..  et  jah..,Neutraalne
236,Rasskazivai mne tut:,Positiivne
240,hinnad on head,Negatiivne
241,Keset päeva tellisin ja järgmise päeva hommikuks oli emaplaat juba postkontoris :) Hea kaup hea hinna eest.,Positiivne
245,sain ostetud läpakas+kott+hiir.,Neutraalne
247,"Ostnud sealt 3 läpparit, 2 hp-d ja 1 delli, kõik hinnaklassis ca 20t. Pood nagu pood ikka, aga positiivne see, et saab kõiki asju enne ostu näppida. Garantiiga probleeme pole, sest garantiiga saadetakse servicenetti (või mis ta nim oli, piimakombinaadi taga see urgas), seal aga imeb teenindus vilinaga.",Neutraalne
254,Väga asjalik ja kiire teenindus. ,Positiivne
255,"Väga hea koht, hinnad head ning paki kohale toimetamisaeg ka kiire :)",Neutraalne
256,"kas kellelgi on sellele asjale olemas XP recovery disk set? lenovo esindus "" toob"" seda mulle juba kuu aega..  vitsa sellel masinal onj saadanast.. ",Neutraalne
260,"Pretentsioone kahjuks kas ei osata või ei taheta lugeda. Igatahes kaup tuleb kätte nädalaid hiljem ja karpi lahti tehes võib juhtuda, et olete saanud hoopiski vale toote!",Negatiivne
263,Saame küll lugeda. Kuid sel päevadel astus tööle uus töötaja ja Teie kiri jäi silma vahele. Palume vabandust ja lähema päevadel saadame info millal saate õige kaup kätte.,Neutraalne
264,"Negatiivne kogemus garantii hooldusega, ootan emaaplaat juba rohkem kui 1.5 kuud.",Negatiivne
266,Tellisin sealt aastaid tagasi oma Nokia 6630-le lisaaku(BL-6C) ja 512MB mälukaardi.Kõik läks väga hästi.Äri kiire ja korralik.See aasta on uuesti plaanis neilt ühte koma teist osta.Müüvad korralikku originaalkaupa.Selles suhtes üks väheseid korralikke telefonipoode Eestis.Soovitan!.,Positiivne
267,"saatasin emali mida soovisin, saatsid mulle maili peale lepigu.",Neutraalne
268,"kodulehekülg sümpaatne, head hinnad, lai kauba valik ja siis tuleb teenindus mis on alla nulli , ma olen sealt 1 asja ostnud ja sellega oli juba selline jama, algul tellid ära, ootad ja ootad ja kaupa ei tule, võtad ette tripi õismäele kohapeale et teada saada mis toimub ja mingi tüüp vahib sulle arvuti tagant sellise näoga otsa et umbes ""oli asja ka või ema saatis?"" siis seletad loo ära ja see ütleb et tegemist epoega ja et kaup tuleb. ootad veel mingi 3-4 päeva , ikka veel ei tule lähed uuesti kohale ja täpselt sama nägu peas ja nimodi ma olen seal kohapeal mingi 5 korda käinud vist kokku , lõpuks toodi see kaart mingi 2 nädalaga kohale aga ma lihtsalt ei julge enam sinna minna tellima kuna kunagi ei tea kas tal on kaup kohapeal või ütleb ta sulle et see on epood ja mina ei tea midagi:S",Negatiivne
269,"Kas keegi teab mis nendega juhtunud on? Tellisin mälukaardi, makisisin arvet, pärast seda sain nendest ainult ühe kirja et nad raha saanud ei ole ja nüüd ei vasta meilidele ega telefoni kõnedele.",Neutraalne
270,Tellisin paar asja! Sain enne tähtaja neid ka kätte! Asjadega rahul! Tänan koostöö eest! Jülgen soovitada! ,Positiivne
275,"Olen ostnud sealt u. 30,000 eest kaupu ja olen alati rahule jäänud!",Positiivne
279,"Tellisin fotoka ja mälukaardi. Tasusin arve ning sain kaubad kenasti kulleriga kätte. Viivitus oli küll 1 päev aga see oli tingitud sellest, et konkreetne mälukaart oli korraks otsa saanud. Muidu kõik hästi.",Neutraalne
281,"Seni on DigiZone suutnud peaaegu alati kõigi konkurentide hinnad üle lüüa ja isegi kui pole seda teha suutnud, siis tarnekiirus on pannud ikka nende kasuks otsustama. Viimane suurem ost oli Canoni objektiiv. Overall ega Photopoint igatahes ei suutnud võistelda ei hinnas ega tarneajas. ",Positiivne
283,"Hinnad parimad enamasti ja üsnagi palju kaupa koha peal mitte, et ""tellime paari päeva jooksul ja siis saab."" Teeninduse suhtes igati rahul, probleeme pole siiani olnud nii et julgen ka soovitada.",Positiivne
284,"Pole tegelikult midagi halba öelda. Kuigi laoseisude tühjenemise tõttu kaup jäi veidi hiljaks, vabandati mitu korda ning anti kiiresti viivitusest teada. Lisaks on Digizones väga head hinnad.",Positiivne
285,"Lisaks veel, et ka see kaotatud aeg kompenseeriti täielikult.",Neutraalne
286,"Igati positiivne kogemus, teinekordki.",Positiivne
