number,suffix,pos,form,ending
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ais,O,pl in,is
"([1-9][0-9]*)?[1-9]0{9,11}\.$",is,O,pl in,is
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndais,O,pl in,is
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endais,O,pl in,is
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dais,O,pl in,is
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dates,O,pl in,tes
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndates,O,pl in,tes
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ates,O,pl in,tes
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endates,O,pl in,tes
"([1-9][0-9]*)?[1-9]0{9,11}\.$",tes,O,pl in,tes
"([1-9][0-9]*)?[1-9]0{9,11}\.$",datega,O,pl kom,tega
"([1-9][0-9]*)?[1-9]0{9,11}\.$",atega,O,pl kom,tega
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndatega,O,pl kom,tega
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endatega,O,pl kom,tega
"([1-9][0-9]*)?[1-9]0{9,11}\.$",tega,O,pl kom,tega
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dad,O,pl n,d
"([1-9][0-9]*)?[1-9]0{9,11}\.$",d,O,pl n,d
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endad,O,pl n,d
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndad,O,pl n,d
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ad,O,pl n,d
"([1-9][0-9]*)?[1-9]0{9,11}\.$",id,O,pl p,id
"([1-9][0-9]*)?[1-9]0{9,11}\.$",aid,O,pl p,id
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endaid,O,pl p,id
"([1-9][0-9]*)?[1-9]0{9,11}\.$",daid,O,pl p,id
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndaid,O,pl p,id
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndaini,O,pl ter,ini
"([1-9][0-9]*)?[1-9]0{9,11}\.$",aini,O,pl ter,ini
"([1-9][0-9]*)?[1-9]0{9,11}\.$",daini,O,pl ter,ini
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ini,O,pl ter,ini
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endaini,O,pl ter,ini
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endateni,O,pl ter,teni
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ateni,O,pl ter,teni
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndateni,O,pl ter,teni
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dateni,O,pl ter,teni
"([1-9][0-9]*)?[1-9]0{9,11}\.$",teni,O,pl ter,teni
"([1-9][0-9]*)?[1-9]0{9,11}\.$",aiks,O,pl tr,iks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",daiks,O,pl tr,iks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",iks,O,pl tr,iks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endaiks,O,pl tr,iks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndaiks,O,pl tr,iks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dateks,O,pl tr,teks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",teks,O,pl tr,teks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ateks,O,pl tr,teks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndateks,O,pl tr,teks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endateks,O,pl tr,teks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndata,O,sg ab,ta
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ta,O,sg ab,ta
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ata,O,sg ab,ta
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endata,O,sg ab,ta
"([1-9][0-9]*)?[1-9]0{9,11}\.$",data,O,sg ab,ta
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endalt,O,sg abl,lt
"([1-9][0-9]*)?[1-9]0{9,11}\.$",alt,O,sg abl,lt
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndalt,O,sg abl,lt
"([1-9][0-9]*)?[1-9]0{9,11}\.$",lt,O,sg abl,lt
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dalt,O,sg abl,lt
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dal,O,sg ad,l
"([1-9][0-9]*)?[1-9]0{9,11}\.$",l,O,sg ad,l
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endal,O,sg ad,l
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndal,O,sg ad,l
"([1-9][0-9]*)?[1-9]0{9,11}\.$",al,O,sg ad,l
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endale,O,sg all,le
"([1-9][0-9]*)?[1-9]0{9,11}\.$",le,O,sg all,le
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndale,O,sg all,le
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dale,O,sg all,le
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ale,O,sg all,le
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ast,O,sg el,st
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dast,O,sg el,st
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndast,O,sg el,st
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endast,O,sg el,st
"([1-9][0-9]*)?[1-9]0{9,11}\.$",st,O,sg el,st
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndana,O,sg es,na
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dana,O,sg es,na
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endana,O,sg es,na
"([1-9][0-9]*)?[1-9]0{9,11}\.$",na,O,sg es,na
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ana,O,sg es,na
"([1-9][0-9]*)?[1-9]0{9,11}\.$",da,O,sg g,0
"([1-9][0-9]*)?[1-9]0{9,11}\.$",enda,O,sg g,0
"([1-9][0-9]*)?[1-9]0{9,11}\.$",nda,O,sg g,0
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndasse,O,sg ill,sse
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dasse,O,sg ill,sse
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endasse,O,sg ill,sse
"([1-9][0-9]*)?[1-9]0{9,11}\.$",sse,O,sg ill,sse
"([1-9][0-9]*)?[1-9]0{9,11}\.$",asse,O,sg ill,sse
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endas,O,sg in,s
"([1-9][0-9]*)?[1-9]0{9,11}\.$",s,O,sg in,s
"([1-9][0-9]*)?[1-9]0{9,11}\.$",das,O,sg in,s
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndas,O,sg in,s
"([1-9][0-9]*)?[1-9]0{9,11}\.$",as,O,sg in,s
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endaga,O,sg kom,ga
"([1-9][0-9]*)?[1-9]0{9,11}\.$",aga,O,sg kom,ga
"([1-9][0-9]*)?[1-9]0{9,11}\.$",daga,O,sg kom,ga
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ga,O,sg kom,ga
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndaga,O,sg kom,ga
"([1-9][0-9]*)?[1-9]0{9,11}\.$",at,O,sg p,t
"([1-9][0-9]*)?[1-9]0{9,11}\.$",t,O,sg p,t
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dat,O,sg p,t
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endat,O,sg p,t
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndat,O,sg p,t
"([1-9][0-9]*)?[1-9]0{9,11}\.$",dani,O,sg ter,ni
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ni,O,sg ter,ni
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ani,O,sg ter,ni
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endani,O,sg ter,ni
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndani,O,sg ter,ni
"([1-9][0-9]*)?[1-9]0{9,11}\.$",endaks,O,sg tr,ks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",daks,O,sg tr,ks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ndaks,O,sg tr,ks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",ks,O,sg tr,ks
"([1-9][0-9]*)?[1-9]0{9,11}\.$",aks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedeta,N,pl ab,deta
(|[2-9]|([1-9][0-9]*[02-9]))1$,edeta,N,pl ab,deta
(|[2-9]|([1-9][0-9]*[02-9]))1$,deta,N,pl ab,deta
(|[2-9]|([1-9][0-9]*[02-9]))1$,edelt,N,pl abl,delt
(|[2-9]|([1-9][0-9]*[02-9]))1$,delt,N,pl abl,delt
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedelt,N,pl abl,delt
(|[2-9]|([1-9][0-9]*[02-9]))1$,edel,N,pl ad,del
(|[2-9]|([1-9][0-9]*[02-9]))1$,del,N,pl ad,del
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedel,N,pl ad,del
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedele,N,pl all,dele
(|[2-9]|([1-9][0-9]*[02-9]))1$,edele,N,pl all,dele
(|[2-9]|([1-9][0-9]*[02-9]))1$,dele,N,pl all,dele
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedest,N,pl el,dest
(|[2-9]|([1-9][0-9]*[02-9]))1$,dest,N,pl el,dest
(|[2-9]|([1-9][0-9]*[02-9]))1$,edest,N,pl el,dest
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedena,N,pl es,dena
(|[2-9]|([1-9][0-9]*[02-9]))1$,dena,N,pl es,dena
(|[2-9]|([1-9][0-9]*[02-9]))1$,edena,N,pl es,dena
(|[2-9]|([1-9][0-9]*[02-9]))1$,ede,N,pl g,de
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedesse,N,pl ill,desse
(|[2-9]|([1-9][0-9]*[02-9]))1$,desse,N,pl ill,desse
(|[2-9]|([1-9][0-9]*[02-9]))1$,edesse,N,pl ill,desse
(|[2-9]|([1-9][0-9]*[02-9]))1$,edes,N,pl in,des
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedes,N,pl in,des
(|[2-9]|([1-9][0-9]*[02-9]))1$,des,N,pl in,des
(|[2-9]|([1-9][0-9]*[02-9]))1$,dega,N,pl kom,dega
(|[2-9]|([1-9][0-9]*[02-9]))1$,edega,N,pl kom,dega
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedega,N,pl kom,dega
(|[2-9]|([1-9][0-9]*[02-9]))1$,tesid,N,pl p,sid
(|[2-9]|([1-9][0-9]*[02-9]))1$,esid,N,pl p,sid
(|[2-9]|([1-9][0-9]*[02-9]))1$,edeni,N,pl ter,deni
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedeni,N,pl ter,deni
(|[2-9]|([1-9][0-9]*[02-9]))1$,deni,N,pl ter,deni
(|[2-9]|([1-9][0-9]*[02-9]))1$,edeks,N,pl tr,deks
(|[2-9]|([1-9][0-9]*[02-9]))1$,tedeks,N,pl tr,deks
(|[2-9]|([1-9][0-9]*[02-9]))1$,deks,N,pl tr,deks
(|[2-9]|([1-9][0-9]*[02-9]))1$,eta,N,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))1$,elt,N,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))1$,el,N,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))1$,ena,N,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))1$,esse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))1$,ega,N,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))1$,eni,N,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))1$,esse,O,adt,se
(|[2-9]|([1-9][0-9]*[02-9]))1$,teta,O,pl ab,teta
(|[2-9]|([1-9][0-9]*[02-9]))1$,steta,O,pl ab,teta
(|[2-9]|([1-9][0-9]*[02-9]))1$,silt,O,pl abl,ilt
(|[2-9]|([1-9][0-9]*[02-9]))1$,ilt,O,pl abl,ilt
(|[2-9]|([1-9][0-9]*[02-9]))1$,stelt,O,pl abl,telt
(|[2-9]|([1-9][0-9]*[02-9]))1$,telt,O,pl abl,telt
(|[2-9]|([1-9][0-9]*[02-9]))1$,il,O,pl ad,il
(|[2-9]|([1-9][0-9]*[02-9]))1$,tel,O,pl ad,tel
(|[2-9]|([1-9][0-9]*[02-9]))1$,ile,O,pl all,ile
(|[2-9]|([1-9][0-9]*[02-9]))1$,sile,O,pl all,ile
(|[2-9]|([1-9][0-9]*[02-9]))1$,stele,O,pl all,tele
(|[2-9]|([1-9][0-9]*[02-9]))1$,tele,O,pl all,tele
(|[2-9]|([1-9][0-9]*[02-9]))1$,ist,O,pl el,ist
(|[2-9]|([1-9][0-9]*[02-9]))1$,sist,O,pl el,ist
(|[2-9]|([1-9][0-9]*[02-9]))1$,stest,O,pl el,test
(|[2-9]|([1-9][0-9]*[02-9]))1$,test,O,pl el,test
(|[2-9]|([1-9][0-9]*[02-9]))1$,stena,O,pl es,tena
(|[2-9]|([1-9][0-9]*[02-9]))1$,tena,O,pl es,tena
(|[2-9]|([1-9][0-9]*[02-9]))1$,isse,O,pl ill,isse
(|[2-9]|([1-9][0-9]*[02-9]))1$,sisse,O,pl ill,isse
(|[2-9]|([1-9][0-9]*[02-9]))1$,stesse,O,pl ill,tesse
(|[2-9]|([1-9][0-9]*[02-9]))1$,tesse,O,pl ill,tesse
(|[2-9]|([1-9][0-9]*[02-9]))1$,sis,O,pl in,is
(|[2-9]|([1-9][0-9]*[02-9]))1$,is,O,pl in,is
(|[2-9]|([1-9][0-9]*[02-9]))1$,stes,O,pl in,tes
(|[2-9]|([1-9][0-9]*[02-9]))1$,tes,O,pl in,tes
(|[2-9]|([1-9][0-9]*[02-9]))1$,stega,O,pl kom,tega
(|[2-9]|([1-9][0-9]*[02-9]))1$,tega,O,pl kom,tega
(|[2-9]|([1-9][0-9]*[02-9]))1$,sed,O,pl n,d
(|[2-9]|([1-9][0-9]*[02-9]))1$,si,O,pl p,i
(|[2-9]|([1-9][0-9]*[02-9]))1$,steni,O,pl ter,teni
(|[2-9]|([1-9][0-9]*[02-9]))1$,teni,O,pl ter,teni
(|[2-9]|([1-9][0-9]*[02-9]))1$,iks,O,pl tr,iks
(|[2-9]|([1-9][0-9]*[02-9]))1$,siks,O,pl tr,iks
(|[2-9]|([1-9][0-9]*[02-9]))1$,teks,O,pl tr,teks
(|[2-9]|([1-9][0-9]*[02-9]))1$,steks,O,pl tr,teks
(|[2-9]|([1-9][0-9]*[02-9]))1$,eta,O,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))1$,seta,O,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))1$,elt,O,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))1$,el,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))1$,ena,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))1$,esse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))1$,sesse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))1$,sega,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))1$,ega,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))1$,eni,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))1$,seni,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,esse,O,adt,se
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sse,O,adt,se
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,se,O,adt,se
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,teta,O,pl ab,teta
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,steta,O,pl ab,teta
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ilt,O,pl abl,ilt
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,silt,O,pl abl,ilt
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,stelt,O,pl abl,telt
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,telt,O,pl abl,telt
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sil,O,pl ad,il
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,il,O,pl ad,il
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,tel,O,pl ad,tel
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,stel,O,pl ad,tel
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ile,O,pl all,ile
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sile,O,pl all,ile
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,stele,O,pl all,tele
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,tele,O,pl all,tele
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ist,O,pl el,ist
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sist,O,pl el,ist
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,stest,O,pl el,test
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,test,O,pl el,test
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,tena,O,pl es,tena
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,stena,O,pl es,tena
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,te,O,pl g,te
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ste,O,pl g,te
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,isse,O,pl ill,isse
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sisse,O,pl ill,isse
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,stesse,O,pl ill,tesse
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,tesse,O,pl ill,tesse
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sis,O,pl in,is
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,is,O,pl in,is
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,stes,O,pl in,tes
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,tes,O,pl in,tes
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,stega,O,pl kom,tega
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,tega,O,pl kom,tega
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ed,O,pl n,d
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sed,O,pl n,d
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,d,O,pl n,d
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,si,O,pl p,i
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,i,O,pl p,i
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,steni,O,pl ter,teni
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,teni,O,pl ter,teni
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,siks,O,pl tr,iks
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,iks,O,pl tr,iks
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,teks,O,pl tr,teks
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,steks,O,pl tr,teks
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,seta,O,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,eta,O,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ta,O,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,selt,O,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,elt,O,sg abl,lt
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,l,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,el,O,sg ad,l
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sele,O,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ele,O,sg all,le
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,est,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sest,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,st,O,sg el,st
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ena,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sena,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,na,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,se,O,sg g,0
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,esse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sesse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ses,O,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,es,O,sg in,s
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ega,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,sega,O,sg kom,ga
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,t,O,sg p,t
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,est,O,sg p,t
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,st,O,sg p,t
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,eni,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,ni,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,seni,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,seks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))1\.$,eks,O,sg tr,ks
(|[2-9]|([1-9][0-9]*[02-9]))2$,edeta,N,pl ab,deta
(|[2-9]|([1-9][0-9]*[02-9]))2$,tedeta,N,pl ab,deta
(|[2-9]|([1-9][0-9]*[02-9]))2$,deta,N,pl ab,deta
(|[2-9]|([1-9][0-9]*[02-9]))2$,edelt,N,pl abl,delt
(|[2-9]|([1-9][0-9]*[02-9]))2$,delt,N,pl abl,delt
(|[2-9]|([1-9][0-9]*[02-9]))2$,tedelt,N,pl abl,delt
(|[2-9]|([1-9][0-9]*[02-9]))2$,edel,N,pl ad,del
(|[2-9]|([1-9][0-9]*[02-9]))2$,del,N,pl ad,del
(|[2-9]|([1-9][0-9]*[02-9]))2$,tedel,N,pl ad,del
(|[2-9]|([1-9][0-9]*[02-9]))2$,tedele,N,pl all,dele
(|[2-9]|([1-9][0-9]*[02-9]))2$,edele,N,pl all,dele
(|[2-9]|([1-9][0-9]*[02-9]))2$,dele,N,pl all,dele
(|[2-9]|([1-9][0-9]*[02-9]))2$,tedest,N,pl el,dest
(|[2-9]|([1-9][0-9]*[02-9]))2$,dest,N,pl el,dest
(|[2-9]|([1-9][0-9]*[02-9]))2$,edest,N,pl el,dest
(|[2-9]|([1-9][0-9]*[02-9]))2$,tedena,N,pl es,dena
(|[2-9]|([1-9][0-9]*[02-9]))2$,dena,N,pl es,dena
(|[2-9]|([1-9][0-9]*[02-9]))2$,edena,N,pl es,dena
(|[2-9]|([1-9][0-9]*[02-9]))2$,ede,N,pl g,de
(|[2-9]|([1-9][0-9]*[02-9]))2$,tede,N,pl g,de
(|[2-9]|([1-9][0-9]*[02-9]))2$,edesse,N,pl ill,desse
(|[2-9]|([1-9][0-9]*[02-9]))2$,tedesse,N,pl ill,desse
(|[2-9]|([1-9][0-9]*[02-9]))2$,desse,N,pl ill,desse
(|[2-9]|([1-9][0-9]*[02-9]))2$,edes,N,pl in,des
(|[2-9]|([1-9][0-9]*[02-9]))2$,tedes,N,pl in,des
(|[2-9]|([1-9][0-9]*[02-9]))2$,des,N,pl in,des
(|[2-9]|([1-9][0-9]*[02-9]))2$,dega,N,pl kom,dega
(|[2-9]|([1-9][0-9]*[02-9]))2$,edega,N,pl kom,dega
(|[2-9]|([1-9][0-9]*[02-9]))2$,esid,N,pl p,sid
(|[2-9]|([1-9][0-9]*[02-9]))2$,edeni,N,pl ter,deni
(|[2-9]|([1-9][0-9]*[02-9]))2$,tedeni,N,pl ter,deni
(|[2-9]|([1-9][0-9]*[02-9]))2$,deni,N,pl ter,deni
(|[2-9]|([1-9][0-9]*[02-9]))2$,edeks,N,pl tr,deks
(|[2-9]|([1-9][0-9]*[02-9]))2$,tedeks,N,pl tr,deks
(|[2-9]|([1-9][0-9]*[02-9]))2$,deks,N,pl tr,deks
(|[2-9]|([1-9][0-9]*[02-9]))2$,eta,N,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))2$,ena,N,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))2$,esse,N,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))2$,teta,O,pl ab,teta
(|[2-9]|([1-9][0-9]*[02-9]))2$,steta,O,pl ab,teta
(|[2-9]|([1-9][0-9]*[02-9]))2$,stelt,O,pl abl,telt
(|[2-9]|([1-9][0-9]*[02-9]))2$,telt,O,pl abl,telt
(|[2-9]|([1-9][0-9]*[02-9]))2$,tel,O,pl ad,tel
(|[2-9]|([1-9][0-9]*[02-9]))2$,stel,O,pl ad,tel
(|[2-9]|([1-9][0-9]*[02-9]))2$,stele,O,pl all,tele
(|[2-9]|([1-9][0-9]*[02-9]))2$,tele,O,pl all,tele
(|[2-9]|([1-9][0-9]*[02-9]))2$,stest,O,pl el,test
(|[2-9]|([1-9][0-9]*[02-9]))2$,stena,O,pl es,tena
(|[2-9]|([1-9][0-9]*[02-9]))2$,tena,O,pl es,tena
(|[2-9]|([1-9][0-9]*[02-9]))2$,stesse,O,pl ill,tesse
(|[2-9]|([1-9][0-9]*[02-9]))2$,tesse,O,pl ill,tesse
(|[2-9]|([1-9][0-9]*[02-9]))2$,stes,O,pl in,tes
(|[2-9]|([1-9][0-9]*[02-9]))2$,tes,O,pl in,tes
(|[2-9]|([1-9][0-9]*[02-9]))2$,tega,O,pl kom,tega
(|[2-9]|([1-9][0-9]*[02-9]))2$,stega,O,pl kom,tega
(|[2-9]|([1-9][0-9]*[02-9]))2$,steni,O,pl ter,teni
(|[2-9]|([1-9][0-9]*[02-9]))2$,teni,O,pl ter,teni
(|[2-9]|([1-9][0-9]*[02-9]))2$,teks,O,pl tr,teks
(|[2-9]|([1-9][0-9]*[02-9]))2$,steks,O,pl tr,teks
(|[2-9]|([1-9][0-9]*[02-9]))2$,eta,O,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))2$,seta,O,sg ab,ta
(|[2-9]|([1-9][0-9]*[02-9]))2$,ena,O,sg es,na
(|[2-9]|([1-9][0-9]*[02-9]))2$,esse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))2$,sesse,O,sg ill,sse
(|[2-9]|([1-9][0-9]*[02-9]))2$,seni,O,sg ter,ni
(|[2-9]|([1-9][0-9]*[02-9]))2\.$,se,O,adt,0
(|[2-9]|([1-9][0-9]*[02-9]))2\.$,teta,O,pl ab,teta
(|[2-9]|([1-9][0-9]*[02-9]))2\.$,steta,O,pl ab,teta
(|[2-9]|([1-9][0-9]*[02-9]))2\.$,stelt,O,pl abl,telt
(|[2-9]|([1-9][0-9]*[02-9]))2\.$,telt,O,pl abl,telt
(|[2-9]|([1-9][0-9]*[02-9]))2\.$,tel,O,pl ad,tel
